ENABLED,FACILITYID,LOCATION,INSTALLDAT,SUBTYPE,MATERIAL,LENGTH,DIAMETER,STATUS,PressureSy
1,22-00008,Packard St,5/16/1963,3,CI,0,6,IS,SHE
1,22-00016,Packard St,1/1/1950,3,CI,6,6,IS,SHE
1,22-00017,Packard St,1/1/1950,3,CI,17,6,IS,SHE
1,22-00048,Packard St,1/1/1930,3,CI,18,6,IS,SHE
1,22-00115,Eastover Pl,1/1/1940,3,CI,25,6,IS,SHE
1,22-00547,Ca Canny Ct,1/1/1990,3,DI,30,6,IS,SHE
1,22-00816,,5/6/1968,3,DI,0,6,IS,SHE
1,22-00821,,5/6/1968,3,DI,0,6,IS,SHE
1,22-00833,Ridge Ave,6/30/1961,3,CI,0,6,IS,SHE
1,22-00839,Ridge Ave,6/20/1961,3,CI,7,6,IS,SHE
1,22-00841,Ridge Ave,8/15/1991,3,DI,4,6,IS,SHE
1,22-00848,,6/30/1961,3,CI,0,6,IS,SHE
1,22-00849,,6/30/1961,3,CI,0,6,IS,SHE
1,22-01060,St Aubin Ave,1/1/1950,3,CI,15,6,IS,SHE
1,22-01061,,1/1/1950,3,CI,24,6,IS,SHE
1,22-01069,Lorraine St,6/6/1992,3,DI,11,6,IS,SHE
1,22-01109,Lorraine St,6/26/1992,3,DI,0,6,IS,SHE
1,22-01374,Platt Rd,1/1/1960,3,CI,42,6,IS,SHE
1,22-01476,,1/13/1964,3,CI,0,6,IS,SHE
1,22-02705,,1/1/1920,3,CI,0,6,IS,WH
1,22-02736,,1/1/1960,3,DI,0,6,IS,GRA
1,22-02759,,1/1/1960,1,DI,0,6,AB,WH
1,22-03487,Chandler Rd,11/3/1993,3,DI,34,6,IS,NEHWPRZ
1,22-03513,,11/3/1993,3,DI,17,6,IS,NEHWPRZ
1,22-03739,Fuller and Glen Ct,1/1/1983,3,DI,0,6,IS,GRA
1,22-03742,Fuller and Glen Ct,1/1/1983,2,DI,7,16,IS,GRA
1,22-03952,,1/1/1930,3,CI,0,6,IS,GED
1,22-04021,,1/1/1930,3,CI,0,6,IS,GRA
1,22-04451,United Methodist Church,7/15/1988,3,DI,0,8,IS,WH
1,22-05281,,1/1/1920,3,CI,27,6,IS,WH
1,22-06440,UM Randall Lab,9/18/1995,3,DI,0,6,IS,GRA
1,22-06441,UM Randall Lab,9/18/1995,3,DI,0,6,IS,GRA
1,22-06448,UM Randall Lab,9/18/1995,3,DI,0,6,IS,GRA
1,22-06448,UM Randall Lab,9/18/1995,3,DI,0,6,IS,GRA
1,22-06901,,1/1/1920,3,CI,0,6,IS,GRA
1,22-07191,1956 S Industrial,9/9/1972,3,DI,0,6,IS,GRA
1,22-07192,1956 S Industrial,9/9/1972,3,DI,0,6,IS,GRA
1,22-07693,Huron Pkwy,8/1/1991,3,DI,0,6,IS,NEH
1,22-08247,,1/1/1992,3,DI,16,6,IS,NEH
1,22-08435,Traver Rd,5/10/1966,3,DI,27,6,IS,NEH
1,22-08524,,1/1/1992,3,DI,0,6,IS,NEH
1,22-08694,,2/27/1991,1,DI,0,8,IS,NEH
1,22-08979,,1/1/1950,3,CI,0,6,IS,NEH
1,22-09314,,1/1/1950,3,CI,0,6,IS,NEH
1,22-09752,Meadowridge Ct,1/1/1990,3,DI,13,8,IS,NEH
1,22-09808,"1717 BROADWAY ST, AT REAR, IN PARKING LOT",6/18/1989,3,DI,68,6,IS,NEH
1,22-09931,Traver Knoll Apts,1/26/1965,3,CI,0,6,IS,NEHWPRZ
1,22-09934,Traver Knoll Apts,1/26/1965,3,CI,0,6,IS,NEHWPRZ
1,00-10010,,1/1/1990,1,DI,0,12,IS,NEH
1,22-10012,,1/1/1990,1,DI,0,12,IS,NEH
1,22-10114,"2685 Traver Blvd, Logan Elementary",7/6/1976,3,DI,0,6,IS,NEH
1,22-10347,Pine Brae,1/1/1962,3,CI,0,6,IS,NEHEPRZ
1,22-10479,,3/1/1964,3,CI,0,6,IS,NEHEPRZ
