FACILITYID,LOCATION,INSTALLDAT,SUBTYPE,INSTALLCON,ASBUILTNUM,DATAORIGIN,OWNER,COMMENTS,MODELID,MATERIAL,INCASING,LENGTH,WRAPPING,DIAMETER,DEPTH,STATUS,CreatedUse,DateCreate,ModifiedUs,DateModifi,PressureSy,LiningType,PipeClass,Roughness,OperatingP,LiningDate,LiningCont,LiningAsbu,ProjectFun,JointUse,GlobalID,created_us,created_da,last_edite,last_edi_1,Replacemen,OBJECTID,WORKORDERI,DESCRIPTIO,EntityUid,EntityType,LOCATION_1,INITIATEDA,WOXCOORDIN,WOYCOORDIN,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Map_unit_s,Map_unit_n,Ph Rating,Shape_Length
22-23992,Arborland Mall,9/11/1961 0:00,1,,A138W-W,ASBUILT,AA,Cast Iron Confirmed,,CI,0,0,,8,0,IS,,,MMain,9/19/2016 0:00,SHE,,,0,,,,,Develop,,{009B3F1B-25D3-437A-AE25-13A527AB667F},,,,,,518,574450,Water Main Repair Break,22-23992,WWATERMAIN,Arborland Mall,7/13/2018 0:00,-9316105.724,5199502.512,MI161,13,StB,191680,StB,"St. Clair clay loam, 2 to 6 percent slopes",7.3,309.527365
00-00079,Marlborough,6/30/1962 0:00,2,AA,A171W-W,ASBUILT,AA,,,CI,0,453,,20,0,IS,,,CTurkington,4/23/2019 0:00,SHE,,,0,,,,,,,{A8FAD185-D799-467E-9069-41396986BFDF},,,,,,34,348836,Water Main Repair Break,00-00079,WWATERMAIN,Marlborough,5/20/2013 0:00,-9320478.931,5198827.239,MI161,13,MdA,191644,MdA,"Matherton sandy loam, 0 to 4 percent slopes",7.2,452.9376411
00-00404,Platt Rd,7/24/1978 0:00,2,AA,A545W-W5,ASBUILT,AA,,,DI,0,0,,16,0,IS,,,MMain,7/28/2016 0:00,SHE,,,0,,,,,,,{C9671BBF-D37A-4A0D-AD86-DBCA397C7F9F},,,,,,267,465957,Water Main Repair Break,00-00404,WWATERMAIN,Platt Rd,8/28/2015 0:00,-9317452.537,5197191.13,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,304.1691305
00-00428,Platt Rd,7/24/1978 0:00,2,AA,A545W-W6,ASBUILT,AA,,,DI,0,0,,16,0,IS,,,MMain,7/28/2016 0:00,SHE,,,0,,,,,,,{B0D512D5-7D32-4C0E-AB19-0C6A5D2DAD05},,,,,,107,382769,Water Main Repair Break,00-00428,WWATERMAIN,Platt Rd,1/30/2014 0:00,-9317454.242,5197367.59,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,171.4807228
00-00429,Platt Rd,1/1/1960 0:00,1,,,,AA,,,CI,0,160,,8,0,IS,,,EtMiller,7/31/2019 0:00,SHE,,,0,,,,,,,{8762E899-5D2E-4810-A1A5-091F958883F5},,,,,,222,436334,Water Main Repair Break,00-00429,WWATERMAIN,,2/11/2015 0:00,-9317451.511,5197349,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,160.248686
00-00448,,1/1/1960 0:00,1,,,,,,,CI,0,0,,6,0,AB,,,MMain,5/19/2017 0:00,SHE,,,0,,,,,City,,{84DE2A5C-EB1F-483C-A562-806252EFBD6A},,,,,,299,476022,Water Main Repair Break,00-00448,WWATERMAIN,,1/7/2016 0:00,-9317720.976,5197416.968,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,541.2965834
00-00452,,1/1/1960 0:00,1,,,,,,,CI,0,0,,6,0,AB,,,MMain,5/19/2017 0:00,SHE,,,0,,,,,City,,{9CA008D3-36CE-4AF8-9024-A2CEFE4EC389},,,,,,248,449259,Water Main Repair Break,00-00452,WWATERMAIN,,4/8/2015 0:00,-9317724.483,5197632.229,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,466.5475843
00-00458,,1/1/1960 0:00,1,,,,,,,CI,0,0,,8,0,AB,,,EtMiller,2/18/2015 0:00,SHE,,,0,,,,,,,{A3859273-A199-45EF-AA91-EE46C53B8D4F},,,,,,129,385533,Water Main Repair Break,00-00458,WWATERMAIN,,3/5/2014 0:00,-9317860.122,5197459.525,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,26.60787133
00-00528,,1/1/1960 0:00,1,,,,,,,CI,0,0,,8,0,AB,,,EtMiller,4/27/2015 0:00,SHE,,,0,,,,,,,{D39855A1-DCB1-4BA9-BB78-5514072A63E5},,,,,,356,504834,Water Main Repair Break,00-00528,WWATERMAIN,,9/15/2016 0:00,-9317808.635,5197705.854,MI161,13,Ho,191633,Ho,Hoytville silty clay loam,7.2,41.96679931
00-00758,Nottingham Dr,1/1/1950 0:00,1,,,EST,AA,,,CI,0,184,,6,0,IS,,,GBurda,6/11/2019 0:00,SHE,,,0,,,,,,,{1627029B-AE24-4253-8E76-3C669235C55A},,,,,,320,478991,Water Main Repair Break,00-00758,WWATERMAIN,,2/1/2016 0:00,-9318675.999,5199122.127,MI161,13,MoC,191652,MoC,"Morley loam, 6 to 12 percent slopes",7.2,183.8524493
