WORKORDERID,DESCRIPTION,INITIATEDATE,REGULARCOST,OVERTIMECOST,OTHERCOST,COST,FINISHDATE,STARTDATE,TRANSDATE,LABORSID
332757,Water Main Repair Break,1/2/13 8:49,207.68,0,0,207.68,12/28/12 0:00,12/28/12 0:00,1/2/13 8:52,1032
332757,Water Main Repair Break,1/2/13 8:49,198.32,0,0,198.32,12/28/12 0:00,12/28/12 0:00,1/2/13 8:52,90832
332757,Water Main Repair Break,1/2/13 8:49,189.12,0,0,189.12,12/28/12 0:00,12/28/12 0:00,1/2/13 8:52,90777
332757,Water Main Repair Break,1/2/13 8:49,176.88,0,0,176.88,12/28/12 0:00,12/28/12 0:00,1/2/13 8:52,121388
332757,Water Main Repair Break,1/2/13 8:49,0,16.58,0,16.58,12/28/12 0:00,12/28/12 0:00,1/2/13 8:52,121388
332757,Water Main Repair Break,1/2/13 8:49,162,0,0,162,12/28/12 0:00,12/28/12 0:00,1/2/13 8:53,133997
332990,Water Main Repair Break,1/3/13 9:34,203.04,0,0,203.04,12/28/12 0:00,12/28/12 0:00,1/3/13 9:40,56443
332990,Water Main Repair Break,1/3/13 9:34,207.68,0,0,207.68,12/28/12 0:00,12/28/12 0:00,1/3/13 9:40,7359
332990,Water Main Repair Break,1/3/13 9:34,176.88,0,0,176.88,12/28/12 0:00,12/28/12 0:00,1/3/13 9:40,121391
332990,Water Main Repair Break,1/3/13 9:34,162,0,0,162,12/28/12 0:00,12/28/12 0:00,1/3/13 9:40,136012
332990,Water Main Repair Break,1/3/13 9:34,181.2,0,0,181.2,12/28/12 0:00,12/28/12 0:00,1/3/13 9:41,56455
332990,Water Main Repair Break,1/3/13 9:34,0,16.99,0,16.99,12/28/12 0:00,12/28/12 0:00,1/3/13 9:41,56455
332990,Water Main Repair Break,1/3/13 9:34,0,22,0,22,12/28/12 0:00,12/28/12 0:00,1/3/13 9:41,7360
332990,Water Main Repair Break,1/3/13 9:34,234.64,0,0,234.64,12/28/12 0:00,12/28/12 0:00,1/3/13 9:41,7360
333296,Water Main Repair Break,1/7/13 10:34,0,227.81,0,227.81,1/5/13 0:00,1/5/13 0:00,1/7/13 10:39,136012
333296,Water Main Repair Break,1/7/13 10:34,0,248.74,0,248.74,1/5/13 0:00,1/5/13 0:00,1/7/13 10:39,121391
333296,Water Main Repair Break,1/7/13 10:34,0,351.96,0,351.96,1/5/13 0:00,1/5/13 0:00,1/7/13 10:39,7357
333296,Water Main Repair Break,1/7/13 10:34,0,304.56,0,304.56,1/5/13 0:00,1/5/13 0:00,1/7/13 10:39,56443
333296,Water Main Repair Break,1/7/13 10:34,0,278.89,0,278.89,1/5/13 0:00,1/5/13 0:00,1/7/13 10:39,90832
333304,Water Main Repair Break,1/7/13 11:06,0,266.49,0,266.49,1/6/13 0:00,1/6/13 0:00,1/7/13 11:08,780
333304,Water Main Repair Break,1/7/13 11:06,0,198.99,0,198.99,1/6/13 0:00,1/6/13 0:00,1/7/13 11:09,121388
333304,Water Main Repair Break,1/7/13 11:06,0,263.97,0,263.97,1/6/13 0:00,1/6/13 0:00,1/7/13 11:09,783
333304,Water Main Repair Break,1/7/13 11:06,0,285.97,0,285.97,1/6/13 0:00,1/6/13 0:00,1/7/13 11:09,7357
333304,Water Main Repair Break,1/7/13 11:06,0,151.88,0,151.88,1/6/13 0:00,1/6/13 0:00,1/7/13 11:09,133997
333304,Water Main Repair Break,1/7/13 11:06,0,343.45,0,343.45,1/6/13 0:00,1/6/13 0:00,1/7/13 11:09,22
333352,Water Main Repair Break,1/8/13 8:26,101.25,0,0,101.25,1/8/13 0:00,1/8/13 0:00,1/9/13 13:12,136012
333352,Water Main Repair Break,1/8/13 8:26,110.55,0,0,110.55,1/8/13 0:00,1/8/13 0:00,1/9/13 13:12,121391
333352,Water Main Repair Break,1/8/13 8:26,115.85,0,0,115.85,1/8/13 0:00,1/8/13 0:00,1/9/13 13:13,121387
333352,Water Main Repair Break,1/8/13 8:26,129.8,0,0,129.8,1/8/13 0:00,1/8/13 0:00,1/9/13 13:13,56446
333352,Water Main Repair Break,1/8/13 8:26,126.9,0,0,126.9,1/8/13 0:00,1/8/13 0:00,1/9/13 13:13,56443
333559,Water Main Repair Break,1/10/13 8:24,162,0,0,162,1/10/13 0:00,1/8/13 0:00,1/10/13 8:29,133997
333559,Water Main Repair Break,1/10/13 8:24,181.2,0,0,181.2,1/10/13 0:00,1/8/13 0:00,1/10/13 8:29,56455
333559,Water Main Repair Break,1/10/13 8:24,176.88,0,0,176.88,1/10/13 0:00,1/8/13 0:00,1/10/13 8:30,121386
333559,Water Main Repair Break,1/10/13 8:24,207.68,0,0,207.68,1/10/13 0:00,1/8/13 0:00,1/10/13 8:30,7359
333660,Water Main Repair Break,1/11/13 8:11,146.41,0,0,146.41,1/11/13 0:00,1/11/13 0:00,1/15/13 12:46,88770
333660,Water Main Repair Break,1/11/13 8:11,130.02,0,0,130.02,1/11/13 0:00,1/11/13 0:00,1/15/13 12:46,90777
333660,Water Main Repair Break,1/11/13 8:11,207.68,0,0,207.68,1/11/13 0:00,1/11/13 0:00,1/15/13 12:46,1032
333660,Water Main Repair Break,1/11/13 8:11,176.88,0,0,176.88,1/11/13 0:00,1/11/13 0:00,1/15/13 12:46,121388
333660,Water Main Repair Break,1/11/13 8:11,150.1,0,0,150.1,1/11/13 0:00,1/11/13 0:00,1/15/13 12:47,772
333660,Water Main Repair Break,1/11/13 8:11,136.35,0,0,136.35,1/11/13 0:00,1/11/13 0:00,1/15/13 12:47,90832
333660,Water Main Repair Break,1/11/13 8:11,96.72,0,0,96.72,1/11/13 0:00,1/11/13 0:00,1/15/13 12:48,56449
333683,Water Main Repair Break,1/11/13 13:02,103.84,0,0,103.84,1/10/13 0:00,1/10/13 0:00,1/11/13 13:05,56446
333683,Water Main Repair Break,1/11/13 13:02,0,116.82,0,116.82,1/10/13 0:00,1/10/13 0:00,1/11/13 13:05,56446
333683,Water Main Repair Break,1/11/13 13:02,0,114.21,0,114.21,1/10/13 0:00,1/10/13 0:00,1/11/13 13:05,56443
333683,Water Main Repair Break,1/11/13 13:02,101.52,0,0,101.52,1/10/13 0:00,1/10/13 0:00,1/11/13 13:05,56443
333683,Water Main Repair Break,1/11/13 13:02,92.68,0,0,92.68,1/10/13 0:00,1/10/13 0:00,1/11/13 13:05,121387
333683,Water Main Repair Break,1/11/13 13:02,0,104.27,0,104.27,1/10/13 0:00,1/10/13 0:00,1/11/13 13:05,121387
333683,Water Main Repair Break,1/11/13 13:02,0,99.5,0,99.5,1/10/13 0:00,1/10/13 0:00,1/11/13 13:05,121391
333683,Water Main Repair Break,1/11/13 13:02,88.44,0,0,88.44,1/10/13 0:00,1/10/13 0:00,1/11/13 13:06,121391
333683,Water Main Repair Break,1/11/13 13:02,88.44,0,0,88.44,1/10/13 0:00,1/10/13 0:00,1/11/13 13:06,121388
